,embedding_type,feature_n,fam_duration,test_type,background,deviant,violation_type
0,resnet_pa,3,0,fam,animate_001_left.png,animate_007_left.png,identity
1,resnet_pa,3,0,fam,animate_001_right.png,animate_007_right.png,identity
2,resnet_pa,3,0,fam,animate_002_left.png,animate_001_left.png,identity
3,resnet_pa,3,0,fam,animate_002_right.png,animate_001_right.png,identity
4,resnet_pa,3,0,fam,animate_003_left.png,animate_002_left.png,identity
5,resnet_pa,3,0,fam,animate_003_right.png,animate_002_right.png,identity
6,resnet_pa,3,0,fam,animate_004_left.png,animate_003_left.png,identity
7,resnet_pa,3,0,fam,animate_004_right.png,animate_003_right.png,identity
8,resnet_pa,3,0,fam,animate_005_left.png,animate_004_left.png,identity
9,resnet_pa,3,0,fam,animate_005_right.png,animate_004_right.png,identity
10,resnet_pa,3,0,fam,animate_006_left.png,animate_005_left.png,identity
11,resnet_pa,3,0,fam,animate_006_right.png,animate_005_right.png,identity
12,resnet_pa,3,0,fam,animate_007_left.png,animate_006_left.png,identity
13,resnet_pa,3,0,fam,animate_007_right.png,animate_006_right.png,identity
14,resnet_pa,3,0,novel,animate_001_left.png,animate_007_left.png,identity
15,resnet_pa,3,0,novel,animate_001_right.png,animate_007_right.png,identity
16,resnet_pa,3,0,novel,animate_002_left.png,animate_001_left.png,identity
17,resnet_pa,3,0,novel,animate_002_right.png,animate_001_right.png,identity
18,resnet_pa,3,0,novel,animate_003_left.png,animate_002_left.png,identity
19,resnet_pa,3,0,novel,animate_003_right.png,animate_002_right.png,identity
20,resnet_pa,3,0,novel,animate_004_left.png,animate_003_left.png,identity
21,resnet_pa,3,0,novel,animate_004_right.png,animate_003_right.png,identity
22,resnet_pa,3,0,novel,animate_005_left.png,animate_004_left.png,identity
23,resnet_pa,3,0,novel,animate_005_right.png,animate_004_right.png,identity
24,resnet_pa,3,0,novel,animate_006_left.png,animate_005_left.png,identity
25,resnet_pa,3,0,novel,animate_006_right.png,animate_005_right.png,identity
26,resnet_pa,3,0,novel,animate_007_left.png,animate_006_left.png,identity
27,resnet_pa,3,0,novel,animate_007_right.png,animate_006_right.png,identity
28,resnet_pa,3,1,fam,animate_001_left.png,animate_007_left.png,identity
29,resnet_pa,3,1,fam,animate_001_right.png,animate_007_right.png,identity
30,resnet_pa,3,1,fam,animate_002_left.png,animate_001_left.png,identity
31,resnet_pa,3,1,fam,animate_002_right.png,animate_001_right.png,identity
32,resnet_pa,3,1,fam,animate_003_left.png,animate_002_left.png,identity
33,resnet_pa,3,1,fam,animate_003_right.png,animate_002_right.png,identity
34,resnet_pa,3,1,fam,animate_004_left.png,animate_003_left.png,identity
35,resnet_pa,3,1,fam,animate_004_right.png,animate_003_right.png,identity
36,resnet_pa,3,1,fam,animate_005_left.png,animate_004_left.png,identity
37,resnet_pa,3,1,fam,animate_005_right.png,animate_004_right.png,identity
38,resnet_pa,3,1,fam,animate_006_left.png,animate_005_left.png,identity
39,resnet_pa,3,1,fam,animate_006_right.png,animate_005_right.png,identity
40,resnet_pa,3,1,fam,animate_007_left.png,animate_006_left.png,identity
41,resnet_pa,3,1,fam,animate_007_right.png,animate_006_right.png,identity
42,resnet_pa,3,1,novel,animate_001_left.png,animate_007_left.png,identity
43,resnet_pa,3,1,novel,animate_001_right.png,animate_007_right.png,identity
44,resnet_pa,3,1,novel,animate_002_left.png,animate_001_left.png,identity
45,resnet_pa,3,1,novel,animate_002_right.png,animate_001_right.png,identity
46,resnet_pa,3,1,novel,animate_003_left.png,animate_002_left.png,identity
47,resnet_pa,3,1,novel,animate_003_right.png,animate_002_right.png,identity
48,resnet_pa,3,1,novel,animate_004_left.png,animate_003_left.png,identity
49,resnet_pa,3,1,novel,animate_004_right.png,animate_003_right.png,identity
50,resnet_pa,3,1,novel,animate_005_left.png,animate_004_left.png,identity
51,resnet_pa,3,1,novel,animate_005_right.png,animate_004_right.png,identity
52,resnet_pa,3,1,novel,animate_006_left.png,animate_005_left.png,identity
53,resnet_pa,3,1,novel,animate_006_right.png,animate_005_right.png,identity
54,resnet_pa,3,1,novel,animate_007_left.png,animate_006_left.png,identity
55,resnet_pa,3,1,novel,animate_007_right.png,animate_006_right.png,identity
56,resnet_pa,3,2,fam,animate_001_left.png,animate_007_left.png,identity
57,resnet_pa,3,2,fam,animate_001_right.png,animate_007_right.png,identity
58,resnet_pa,3,2,fam,animate_002_left.png,animate_001_left.png,identity
59,resnet_pa,3,2,fam,animate_002_right.png,animate_001_right.png,identity
60,resnet_pa,3,2,fam,animate_003_left.png,animate_002_left.png,identity
61,resnet_pa,3,2,fam,animate_003_right.png,animate_002_right.png,identity
62,resnet_pa,3,2,fam,animate_004_left.png,animate_003_left.png,identity
63,resnet_pa,3,2,fam,animate_004_right.png,animate_003_right.png,identity
64,resnet_pa,3,2,fam,animate_005_left.png,animate_004_left.png,identity
65,resnet_pa,3,2,fam,animate_005_right.png,animate_004_right.png,identity
66,resnet_pa,3,2,fam,animate_006_left.png,animate_005_left.png,identity
67,resnet_pa,3,2,fam,animate_006_right.png,animate_005_right.png,identity
68,resnet_pa,3,2,fam,animate_007_left.png,animate_006_left.png,identity
69,resnet_pa,3,2,fam,animate_007_right.png,animate_006_right.png,identity
70,resnet_pa,3,2,novel,animate_001_left.png,animate_007_left.png,identity
71,resnet_pa,3,2,novel,animate_001_right.png,animate_007_right.png,identity
72,resnet_pa,3,2,novel,animate_002_left.png,animate_001_left.png,identity
73,resnet_pa,3,2,novel,animate_002_right.png,animate_001_right.png,identity
