background,deviant,violation_type
animate_001_left.png,animate_007_left.png,identity
animate_001_right.png,animate_007_right.png,identity
animate_002_left.png,animate_001_left.png,identity
animate_002_right.png,animate_001_right.png,identity
animate_003_left.png,animate_002_left.png,identity
animate_003_right.png,animate_002_right.png,identity
animate_004_left.png,animate_003_left.png,identity
animate_004_right.png,animate_003_right.png,identity
animate_005_left.png,animate_004_left.png,identity
animate_005_right.png,animate_004_right.png,identity
animate_006_left.png,animate_005_left.png,identity
animate_006_right.png,animate_005_right.png,identity
animate_007_left.png,animate_006_left.png,identity
animate_007_right.png,animate_006_right.png,identity
